improvement,attack_type,metric,baseline,improved,epoch,value
loss_function,KnownAttacks,f1_score,0.945,0.947,,
loss_function,NovelAttacks,f1_score,0.887,0.925,,
loss_function,Slowloris,f1_score,0.912,0.933,,
loss_function,PortScan,f1_score,0.905,0.927,,
loss_function,Overall,f1_score,0.933,0.955,,
loss_function,Overall,precision,0.928,0.951,,
loss_function,Overall,recall,0.938,0.959,,
loss_function,Overall,accuracy,0.933,0.955,,
loss_function,,epoch,,,1,
loss_function,,epoch,,,5,
loss_function,,epoch,,,10,
loss_function,,epoch,,,15,
loss_function,,epoch,,,20,
loss_function,,epoch,,,25,
loss_function,,epoch,,,30,
loss_function,,train_loss,0.248,0.253,1,
loss_function,,train_loss,0.185,0.191,5,
loss_function,,train_loss,0.145,0.152,10,
loss_function,,train_loss,0.118,0.125,15,
loss_function,,train_loss,0.098,0.106,20,
loss_function,,train_loss,0.084,0.093,25,
loss_function,,train_loss,0.075,0.085,30,
loss_function,,val_loss,0.265,0.261,1,
loss_function,,val_loss,0.198,0.195,5,
loss_function,,val_loss,0.159,0.153,10,
loss_function,,val_loss,0.135,0.128,15,
loss_function,,val_loss,0.122,0.114,20,
loss_function,,val_loss,0.118,0.108,25,
loss_function,,val_loss,0.119,0.106,30,
loss_function,,calibration_baseline,,,1,0.82
loss_function,,calibration_baseline,,,2,0.75
loss_function,,calibration_baseline,,,3,0.68
loss_function,,calibration_baseline,,,4,0.64
loss_function,,calibration_improved,,,1,0.94
loss_function,,calibration_improved,,,2,0.85
loss_function,,calibration_improved,,,3,0.76
loss_function,,calibration_improved,,,4,0.67
early_stopping,,epoch,,,1
early_stopping,,epoch,,,2
early_stopping,,epoch,,,3
early_stopping,,epoch,,,4
early_stopping,,epoch,,,5
early_stopping,,epoch,,,6
early_stopping,,epoch,,,7
early_stopping,,epoch,,,8
early_stopping,,epoch,,,9
early_stopping,,epoch,,,10
early_stopping,,epoch,,,11
early_stopping,,epoch,,,12
early_stopping,,epoch,,,13
early_stopping,,epoch,,,14
early_stopping,,epoch,,,15
early_stopping,,epoch,,,16
early_stopping,,epoch,,,17
early_stopping,,epoch,,,18
early_stopping,,epoch,,,19
early_stopping,,epoch,,,20
early_stopping,,epoch,,,21
early_stopping,,epoch,,,22
early_stopping,,epoch,,,23
early_stopping,,epoch,,,24
early_stopping,,epoch,,,25
early_stopping,,epoch,,,26
early_stopping,,epoch,,,27
early_stopping,,train_loss_baseline,,,1,0.352
early_stopping,,train_loss_baseline,,,2,0.298
early_stopping,,train_loss_baseline,,,3,0.267
early_stopping,,train_loss_baseline,,,4,0.245
early_stopping,,train_loss_baseline,,,5,0.228
early_stopping,,train_loss_baseline,,,6,0.214
early_stopping,,train_loss_baseline,,,7,0.202
early_stopping,,train_loss_baseline,,,8,0.192
early_stopping,,train_loss_baseline,,,9,0.183
early_stopping,,train_loss_baseline,,,10,0.175
early_stopping,,train_loss_baseline,,,11,0.168
early_stopping,,train_loss_baseline,,,12,0.161
early_stopping,,train_loss_baseline,,,13,0.155
early_stopping,,train_loss_baseline,,,14,0.149
early_stopping,,train_loss_baseline,,,15,0.144
early_stopping,,train_loss_baseline,,,16,0.139
early_stopping,,train_loss_baseline,,,17,0.134
early_stopping,,train_loss_baseline,,,18,0.130
early_stopping,,train_loss_baseline,,,19,0.126
early_stopping,,train_loss_baseline,,,20,0.122
early_stopping,,train_loss_baseline,,,21,0.118
early_stopping,,train_loss_baseline,,,22,0.115
early_stopping,,train_loss_baseline,,,23,0.112
early_stopping,,train_loss_baseline,,,24,0.108
early_stopping,,train_loss_baseline,,,25,0.105
early_stopping,,train_loss_baseline,,,26,0.102
early_stopping,,train_loss_baseline,,,27,0.099
early_stopping,,val_loss_baseline,,,1,0.368
early_stopping,,val_loss_baseline,,,2,0.312
early_stopping,,val_loss_baseline,,,3,0.278
early_stopping,,val_loss_baseline,,,4,0.254
early_stopping,,val_loss_baseline,,,5,0.236
early_stopping,,val_loss_baseline,,,6,0.221
early_stopping,,val_loss_baseline,,,7,0.208
early_stopping,,val_loss_baseline,,,8,0.197
early_stopping,,val_loss_baseline,,,9,0.187
early_stopping,,val_loss_baseline,,,10,0.179
early_stopping,,val_loss_baseline,,,11,0.171
early_stopping,,val_loss_baseline,,,12,0.164
early_stopping,,val_loss_baseline,,,13,0.158
early_stopping,,val_loss_baseline,,,14,0.152
early_stopping,,val_loss_baseline,,,15,0.147
early_stopping,,val_loss_baseline,,,16,0.143
early_stopping,,val_loss_baseline,,,17,0.139
early_stopping,,val_loss_baseline,,,18,0.136
early_stopping,,val_loss_baseline,,,19,0.133
early_stopping,,val_loss_baseline,,,20,0.131
early_stopping,,val_loss_baseline,,,21,0.132
early_stopping,,val_loss_baseline,,,22,0.134
early_stopping,,val_loss_baseline,,,23,0.137
early_stopping,,val_loss_baseline,,,24,0.141
early_stopping,,val_loss_baseline,,,25,0.146
early_stopping,,val_loss_baseline,,,26,0.152
early_stopping,,val_loss_baseline,,,27,0.159
early_stopping,,train_loss_improved,,,1,0.348
early_stopping,,train_loss_improved,,,2,0.293
early_stopping,,train_loss_improved,,,3,0.262
early_stopping,,train_loss_improved,,,4,0.239
early_stopping,,train_loss_improved,,,5,0.222
early_stopping,,train_loss_improved,,,6,0.208
early_stopping,,train_loss_improved,,,7,0.196
early_stopping,,train_loss_improved,,,8,0.185
early_stopping,,train_loss_improved,,,9,0.176
early_stopping,,train_loss_improved,,,10,0.168
early_stopping,,train_loss_improved,,,11,0.161
early_stopping,,train_loss_improved,,,12,0.154
early_stopping,,train_loss_improved,,,13,0.148
early_stopping,,train_loss_improved,,,14,0.142
early_stopping,,train_loss_improved,,,15,0.137
early_stopping,,train_loss_improved,,,16,0.132
early_stopping,,train_loss_improved,,,17,0.128
early_stopping,,train_loss_improved,,,18,0.124
early_stopping,,train_loss_improved,,,19,0.120
early_stopping,,train_loss_improved,,,20,0.116
early_stopping,,train_loss_improved,,,21,0.113
early_stopping,,train_loss_improved,,,22,0.110
early_stopping,,train_loss_improved,,,23,0.107
early_stopping,,train_loss_improved,,,24,0.104
early_stopping,,train_loss_improved,,,25,0.102
early_stopping,,train_loss_improved,,,26,0.099
early_stopping,,train_loss_improved,,,27,0.097
early_stopping,,val_loss_improved,,,1,0.361
early_stopping,,val_loss_improved,,,2,0.305
early_stopping,,val_loss_improved,,,3,0.271
early_stopping,,val_loss_improved,,,4,0.247
early_stopping,,val_loss_improved,,,5,0.229
early_stopping,,val_loss_improved,,,6,0.214
early_stopping,,val_loss_improved,,,7,0.201
early_stopping,,val_loss_improved,,,8,0.190
early_stopping,,val_loss_improved,,,9,0.180
early_stopping,,val_loss_improved,,,10,0.172
early_stopping,,val_loss_improved,,,11,0.164
early_stopping,,val_loss_improved,,,12,0.157
early_stopping,,val_loss_improved,,,13,0.151
early_stopping,,val_loss_improved,,,14,0.145
early_stopping,,val_loss_improved,,,15,0.140
early_stopping,,val_loss_improved,,,16,0.135
early_stopping,,val_loss_improved,,,17,0.131
early_stopping,,val_loss_improved,,,18,0.128
early_stopping,,val_loss_improved,,,19,0.125
early_stopping,,val_loss_improved,,,20,0.123
early_stopping,,val_loss_improved,,,21,0.125
early_stopping,,val_loss_improved,,,22,0.127
early_stopping,,val_loss_improved,,,23,0.130
early_stopping,,val_loss_improved,,,24,0.133
early_stopping,,val_loss_improved,,,25,0.137
early_stopping,,val_loss_improved,,,26,0.142
early_stopping,,val_loss_improved,,,27,0.148
early_stopping,,val_f1_baseline,,,1,0.865
early_stopping,,val_f1_baseline,,,2,0.891
early_stopping,,val_f1_baseline,,,3,0.904
early_stopping,,val_f1_baseline,,,4,0.912
early_stopping,,val_f1_baseline,,,5,0.918
early_stopping,,val_f1_baseline,,,6,0.923
early_stopping,,val_f1_baseline,,,7,0.927
early_stopping,,val_f1_baseline,,,8,0.930
early_stopping,,val_f1_baseline,,,9,0.933
early_stopping,,val_f1_baseline,,,10,0.935
early_stopping,,val_f1_baseline,,,11,0.937
early_stopping,,val_f1_baseline,,,12,0.939
early_stopping,,val_f1_baseline,,,13,0.941
early_stopping,,val_f1_baseline,,,14,0.942
early_stopping,,val_f1_baseline,,,15,0.944
early_stopping,,val_f1_baseline,,,16,0.945
early_stopping,,val_f1_baseline,,,17,0.946
early_stopping,,val_f1_baseline,,,18,0.947
early_stopping,,val_f1_baseline,,,19,0.948
early_stopping,,val_f1_baseline,,,20,0.948
early_stopping,,val_f1_baseline,,,21,0.947
early_stopping,,val_f1_baseline,,,22,0.946
early_stopping,,val_f1_baseline,,,23,0.944
early_stopping,,val_f1_baseline,,,24,0.941
early_stopping,,val_f1_baseline,,,25,0.938
early_stopping,,val_f1_baseline,,,26,0.935
early_stopping,,val_f1_baseline,,,27,0.931
early_stopping,,val_f1_improved,,,1,0.872
early_stopping,,val_f1_improved,,,2,0.898
early_stopping,,val_f1_improved,,,3,0.912
early_stopping,,val_f1_improved,,,4,0.921
early_stopping,,val_f1_improved,,,5,0.928
early_stopping,,val_f1_improved,,,6,0.934
early_stopping,,val_f1_improved,,,7,0.939
early_stopping,,val_f1_improved,,,8,0.943
early_stopping,,val_f1_improved,,,9,0.947
early_stopping,,val_f1_improved,,,10,0.950
early_stopping,,val_f1_improved,,,11,0.952
early_stopping,,val_f1_improved,,,12,0.954
early_stopping,,val_f1_improved,,,13,0.955
early_stopping,,val_f1_improved,,,14,0.956
early_stopping,,val_f1_improved,,,15,0.957
early_stopping,,val_f1_improved,,,16,0.958
early_stopping,,val_f1_improved,,,17,0.959
early_stopping,,val_f1_improved,,,18,0.959
early_stopping,,val_f1_improved,,,19,0.960
early_stopping,,val_f1_improved,,,20,0.960
early_stopping,,val_f1_improved,,,21,0.959
early_stopping,,val_f1_improved,,,22,0.958
early_stopping,,val_f1_improved,,,23,0.957
early_stopping,,val_f1_improved,,,24,0.955
early_stopping,,val_f1_improved,,,25,0.953
early_stopping,,val_f1_improved,,,26,0.950
early_stopping,,val_f1_improved,,,27,0.947
